longitude,latitude,house_id
36.31946677,32.3028056,D01-B04-H017
36.31936501,32.30281786,D01-B04-H018
36.3192362,32.30286652,D01-B04-H019
36.3192362,32.30286652,D01-B04-H019
36.31913187,32.30290096,D01-B04-H020
36.31901222,32.30292078,D01-B04-H021
36.31887388,32.30300935,D01-B04-H023
36.31885087,32.30294865,D01-B04-H024
36.31853078,32.30307505,D01-B04-H025
36.31846878,32.30310173,D01-B04-H026
36.31839549,32.30309084,D01-B04-H027
36.31839549,32.30309084,D01-B04-H027
36.31850024,32.30301916,D01-B04-H028
36.31843004,32.30303371,D01-B04-H029
36.31829267,32.30312983,D01-B04-H030
36.31812745,32.30314449,D01-B04-H031
36.31803829,32.30319653,D01-B04-H032
36.31803248,32.30314459,D01-B04-H033
36.31792514,32.30315418,D01-B04-H034
36.31792514,32.30315418,D01-B04-H034
36.3177927,32.303172,D01-B04-H035
36.3177927,32.303172,D01-B04-H035
36.31766276,32.30318303,D01-B04-H036
36.31696791,32.30329744,D01-B04-H038
36.31702086,32.30324668,D01-B04-H039
36.31707904,32.3031739,D01-B04-H040
36.31718534,32.30314122,D01-B04-H041
36.31734719,32.30311257,D01-B04-H042
36.31755131,32.30304334,D01-B04-H043
36.31766317,32.30310728,D01-B04-H044
36.31763919,32.30302218,D01-B04-H046
36.31773548,32.30300618,D01-B04-H047
36.31780819,32.30301962,D01-B04-H048
36.31785513,32.30296877,D01-B04-H050
36.31805895,32.30295844,D01-B04-H052
36.31809943,32.3029154,D01-B04-H053
36.31820456,32.30291809,D01-B04-H054
36.31824917,32.3029993,D01-B04-H055
36.31832026,32.30295638,D01-B04-H056
36.31832691,32.30286846,D01-B04-H057
36.31838773,32.30292131,D01-B04-H058
36.31863976,32.30279853,D01-B04-H059
36.3187389,32.30280106,D01-B04-H061
36.31880715,32.30287626,D01-B04-H062
36.31887145,32.30282754,D01-B04-H063
36.31881898,32.3027461,D01-B04-H064
36.31894971,32.30278186,D01-B04-H065
36.31891949,32.30270898,D01-B04-H066
36.31902959,32.30273307,D01-B04-H067
36.31909263,32.30281051,D01-B04-H068
36.31912701,32.30271445,D01-B04-H069
36.3193109,32.30274483,D01-B04-H071
36.31928022,32.30266412,D01-B04-H072
36.31936229,32.3026374,D01-B04-H073
36.31938526,32.30272349,D01-B04-H074
36.31947524,32.30268718,D01-B04-H075
36.31946378,32.30261728,D01-B04-H076
36.3196864,32.30261632,D01-B04-H078
36.3197846,32.30261231,D01-B04-H079
36.31985288,32.30257725,D01-B04-H080
36.31997357,32.30259612,D01-B04-H081
36.31994043,32.30252743,D01-B04-H082
36.31996516,32.30244182,D01-B04-H083
36.32006317,32.30246982,D01-B04-H084
36.32022011,32.30250737,D01-B04-H086
36.32016774,32.30241783,D01-B04-H087
36.32030589,32.30235935,D01-B04-H088
36.32034119,32.30244681,D01-B04-H089
36.32043494,32.30246711,D01-B04-H090
36.3204256,32.30235786,D01-B04-H091
36.32053341,32.30232667,D01-B04-H092
36.32063001,32.30231063,D01-B04-H093
36.32070198,32.3023311,D01-B04-H094
36.32078187,32.30228198,D01-B04-H095
36.32090005,32.30229077,D01-B04-H096
36.32100205,32.30226162,D01-B04-H097
36.32113838,32.30222033,D01-B04-H099
36.3212301,32.30215514,D01-B04-H100
36.32133429,32.30214889,D01-B04-H101
36.32125442,32.30202792,D01-B05-H001
36.32111579,32.30202522,D01-B05-H002
36.32102353,32.30204279,D01-B05-H003
36.32094436,32.30208789,D01-B05-H004
36.32086014,32.30208803,D01-B05-H005
36.32074208,32.30215273,D01-B05-H006
36.32073162,32.30210418,D01-B05-H007
36.32063364,32.30216336,D01-B05-H008
36.32059671,32.30209126,D01-B05-H009
36.3205589,32.30218308,D01-B05-H010
36.32049963,32.30221836,D01-B05-H011
36.32044514,32.3021806,D01-B05-H013
36.32035449,32.30222456,D01-B05-H014
36.32028761,32.30225543,D01-B05-H016
36.32019831,32.30226276,D01-B05-H017
